"","Codice","Territorio","ACCLAV","DEL","DELVIOL","DENS","EXP","IMP","INCAVG","INCFAM","INCMEDFAM","IND","INDCOS","INDFAT","INDINV","INDVAG","INVPIL","LAU25","MORTSTRA","NAT","NETIMP-EXP","NUZ","OCC","OMI","OSP","PERSOGLAV","PILCAP","POP","POV","SCH","SCH2564","SEP","SPEINSTPIL","SPEMENFAM","STUDCLASS","UNEM","UNEM25","UNEMFAM","UNEMLT","UNI"
"1","'010","Piemonte",83.0533942,4959.846574,224.5945444,170.4627032,31257383.66,22923837.17,17698,29808,23973,330785,17026580,123870562,4496309,27498149,22.35286405,21.0081,3.182665724,8.700306161,8333546.489,3.824479061,48.44432972,0.813916862,118.7251225,61.59881731,23359.98341,4330172,6.7,68.3461,52.02917933,1.841545037,3.233393758,2612.73,20.6295,5.252606613,4.271873196,6.468101526,2.341066548,34.1605
"2","'020","Valle D'Aosta",99.20748423,3635.650938,164.1432701,37.6521494,474812.327,421533.076,18317,29798,23225,11496,333321,2347257,133135,692087,23.01207131,22.231,4.066985646,9.611772584,53279.251,3.903506623,52.87719819,3.266532739,112.0257403,57.85064624,28163.27067,122868,7.1,77.4924,54.62132907,1.853757329,3.45752992,2549.53,18.7073,2.997983928,2.551006248,4.93473592,0.39382204,36.2498
"3","'030","Lombardia",82.82106052,4802.614694,178.2950627,393.6290796,79202295.81,105813252.6,19355,32079,26054,781771,43505606,316610688,10552947,77191211,19.06676461,21.8868,1.774734201,9.967656458,-26610956.76,3.720623214,52.21560338,0.997860073,150.5598102,64.23324018,27668.09969,9393092,3.7,70.1039,49.30162552,1.71417339,2.587476404,2800.5,21.2075,4.046115376,3.220978734,4.537301804,1.392588927,32.0405
"4","'040","Trentino-Alto Adige",92.30435311,3139.059521,121.6265538,71.62680185,4976900.853,4740200.037,16884,29946,25754,79371,2986106,19596507,923696,5503846,28.76345492,16.7833,3.641703377,11.25613489,236700.816,3.797474236,54.95097546,0.309745044,142.6386251,61.02395222,26406.02898,974613,8.3,61.9309,50.47699966,1.519815681,3.692666326,2631.46,18.547,2.91746785,2.412711973,3.905772462,0.517827743,26.6721
"5","'050","Veneto",78.78334639,4120.070869,148.8411083,255.4480307,40206811.16,31471510.82,16265,29160,23857,388136,18961326,127582500,4750880,33718789,22.18050162,21.4776,2.931992591,10.08193539,8735300.336,4.074131991,51.5130109,0.663609141,131.1413681,64.54810925,24832.35798,4699950,5,67.69,53.64184723,1.309450683,2.833349716,2716.25,21.1097,4.237752131,3.583441789,4.220555976,1.201274283,34.0507
"6","'060","Friuli Venezia Giulia",85.2748182,3427.101779,130.9248597,153.303412,9886081.042,5002619.042,16793,28752,23766,86998,4476285,28843177,1055421,7741826,21.78068375,28.2283,2.885159344,8.407323635,4883462,3.718831997,47.86428935,1.165256221,112.7210605,54.56161762,22922.26166,1204718,5.7,70.0771,49.02011752,1.648005227,3.081241322,2483.22,19.3797,3.920440827,3.327056288,6.062477962,1.362306177,41.9455
"7","'070","Liguria",96.3242205,5695.721127,181.8421009,293.6999567,3600567.311,7330753.608,16332,25469,20224,127030,3035787,18758556,580339,5686734,16.73123165,29.6568,1.285611437,7.580329631,-3730186.297,3.965571145,43.50992214,0.946437027,127.4964248,58.44292572,21457.07914,1592309,7.7,75.3074,44.1825584,2.072066132,3.297928446,2251.85,20.0827,5.76397606,4.9168268,7.081168212,2.500765099,44.5813
"8","'080","Emilia-Romagna",88.4034193,5281.803065,195.5575467,187.6974808,34480558.75,20241537.09,17483,31452,25518,371442,18048846,134574197,5318655,32242860,20.89832619,22.8187,2.629952885,9.250656718,14239021.67,3.418916384,51.84971255,0.826059956,151.2015285,64.85295119,26195.57464,4151369,3.5,74.3983,48.00244239,1.578746352,2.761579333,2761.56,21.0887,3.69679972,3.089205842,4.065811145,1.001585166,37.458
"9","'090","Toscana",84.77098489,4439.906537,172.6327896,156.4906358,21831316.75,15585404.18,16658,29588,25268,322393,9852637,69102606,2231088,18257904,18.91361731,23.0539,1.877092864,8.847988789,6245912.576,4.134644643,47.75472636,0.97706139,130.9111516,59.63821306,23268.5433,3598269,5.1,70.7656,51.66322662,1.543198676,3.452630276,2468.21,20.6721,5.198853311,4.36416413,5.121657434,1.841994773,42.6505
"10","'100","Umbria",85.88871117,3420.701129,123.6115668,101.576861,2646379.874,2134154.94,15623,27886,22908,66637,2132536,13811414,715411,3917056,19.53402624,29.8812,2.794947595,8.924637953,512224.934,4.419552889,46.08245106,0.703004171,140.2329287,57.51958723,20157.29213,858938,8.4,72.3507,43.18409162,1.203308806,4.109040606,2470.02,20.1593,5.690865122,4.852552003,5.354360178,2.2906055,44.7497
"11","'110","Marche",76.18415694,3292.226801,142.875711,156.6711987,8957257.314,4006046.611,15146,28495,24682,127173,5170218,34221165,1377645,8992376,22.9111419,24.768,2.435171778,8.86093993,4951210.703,3.841107657,48.69584238,0.463023138,139.4572774,58.39486222,21312.49492,1518780,7.8,70.9783,48.53346142,1.380470412,3.987913166,2431.91,20.7593,5.318376019,4.288336974,4.429192301,1.58885688,42.0932
"12","'120","Lazio",93.93241275,4895.394426,155.5114786,305.7543034,11157347.35,21880817.3,17728,30019,24116,389872,9659766,141430537,4079650,17230981,16.93146607,27.7716,1.975181286,9.934405468,-10723469.95,4.485871319,46.73282083,1.031015328,162.2306437,54.9862822,25634.97544,5269972,8.8,72.6698,41.59295927,1.938499745,3.578449025,2314.48,20.8322,7.940968326,6.351078864,5.762647878,4.002232207,50.7159
"13","'130","Abruzzo",90.3956894,3558.066632,168.5770519,120.7197815,6062594.947,3702802.763,14561,26791,22656,94337,3387206,21879708,1471903,6053803,23.24088415,27.2147,2.833031947,8.58822328,2359792.184,3.966473359,43.35778109,0.541550878,146.5792552,54.50400702,17297.95087,1299272,16.3,76.0624,46.93481013,1.149635149,5.141753063,2161.57,21.3494,7.924023591,6.652779502,5.364505018,3.422409402,52.9653
"14","'140","Molise",80.28279517,2515.031461,142.0026412,72.54984587,534507.074,309526.438,13963,22644,19375,20130,531603,3346396,117227,943952,25.68211089,31.9088,4.225352113,7.920453663,224980.636,4.253864678,39.64652779,1.24291152,184.9421269,49.29538547,15616.39203,321953,22.8,86.6283,51.40980905,0.994329216,5.824586257,2003.01,20.9253,11.34319765,9.556309481,6.845991282,5.865371067,53.4467
"15","'150","Campania",83.70801649,3431.451791,369.0600821,425.9664288,7250266.337,8165497.164,15217,23774,19194,329136,6662399,38595590,2556454,10889227,20.23271057,22.7179,3.992172211,11.27371878,-915230.827,5.606900966,37.4005355,3.324865605,129.801541,66.63887912,13696.21625,5788986,26.9,69.3171,57.64703058,0.976159761,7.49685874,1928.25,21.8688,15.63595899,12.79648095,10.5535237,8.18942914,38.9846
"16","'160","Puglia",95.2668606,3441.146842,185.3213595,210.1553888,6420446.214,6220890.089,13377,22124,18193,238716,5442172,33986108,2257855,9903578,21.63297503,23.4798,4.322629679,10.00572563,199556.125,4.643639283,36.59670862,1.233173806,159.7771507,54.44072646,13891.94038,4068167,26.6,71.7028,60.39263688,0.978893367,7.018127892,2011.68,21.3913,15.47942662,12.78826702,10.60054183,8.895056615,39.2997
"17","'170","Basilicata",80.11678891,1786.273843,117.9678035,59.68677117,1265237.549,569796.319,12963,21674,17765,34759,1092671,6517086,509872,1598868,27.90118282,28.0187,4.790419162,8.876071806,695441.23,4.34000868,38.40759907,1.172975319,104.7249122,57.73308958,14830.81265,596546,28.5,70.1958,53.02279523,0.752379883,6.749800149,1766.04,21.15,12.84727893,10.66457899,7.924179926,7.088577518,47.4868
"18","'180","Calabria",94.11719451,3211.903877,155.0015097,133.2357242,350730.24,546116.203,12685,21669,16820,109439,1405086,7167282,457372,2989012,21.1215871,26.9533,3.923019985,9.308049583,-195385.963,4.717199348,36.85490142,3.830268372,138.3368577,56.58314998,13913.47511,2009268,27.1,80.1602,53.55924809,0.792417859,7.352003786,1939.59,20.3668,14.29161991,11.48781249,10.19397408,7.988432016,47.4046
"19","'190","Sicilia",96.08130018,3287.067945,177.1105482,194.9750305,5547064.269,13906853.71,14630,20755,16846,264379,2651407,27599225,1366270,5490167,21.0185778,20.0012,2.74379208,10.32871977,-8359789.439,5.033972978,34.67349073,1.397715713,149.9719009,56.52868115,13797.76964,5013081,32,65.8893,59.55063924,1.087622499,7.453378069,1677.33,20.6773,17.2412677,13.96655758,12.91267707,10.03679006,37.5371
"20","'200","Sardegna",94.46220711,3315.247295,156.5675153,68.49562202,2834166.235,4616250.629,15932,26921,22061,103875,2035037,11614370,770833,3792464,26.31721076,25.4282,3.192307692,7.970489028,-1782084.394,4.228780486,41.91026492,1.761232717,155.2435542,44.99241735,16488.0261,1650052,17.9,67.2643,61.44486962,1.220716469,5.4351822,2173.97,20.5031,13.89544454,11.29333037,8.917573779,6.94546783,38.862
